,F1 score,accuracy score,model,time,features
2,0.8773841961852862,0.8937426210153483,Random Forest,0.03629899024963379,12
3,0.8651399491094146,0.9061393152302243,K-Nearest Neighbors,0.05536818504333496,12
4,0.8601769911504425,0.9067296340023613,SVM,0.5122270584106445,12
0,0.8842975206611571,0.9008264462809917,Logistic Regression,0.008790016174316406,13
1,0.8846153846153846,0.9008264462809917,Decision Tree,0.0025370121002197266,13
2,0.8846153846153846,0.9008264462809917,Random Forest,0.03626585006713867,13
3,0.8740359897172236,0.9132231404958677,K-Nearest Neighbors,0.05918693542480469,13
4,0.8743545611015491,0.9138134592680047,SVM,0.5393061637878418,13
0,0.8842975206611571,0.9008264462809917,Logistic Regression,0.009228944778442383,14
1,0.8846153846153846,0.9008264462809917,Decision Tree,0.002563953399658203,14
2,0.8846153846153846,0.9008264462809917,Random Forest,0.036154985427856445,14
3,0.8740359897172236,0.9132231404958677,K-Nearest Neighbors,0.0600128173828125,14
4,0.8743545611015491,0.9138134592680047,SVM,0.5524060726165771,14
0,0.8842975206611571,0.9008264462809917,Logistic Regression,0.008903026580810547,15
1,0.8846153846153846,0.9008264462809917,Decision Tree,0.002573728561401367,15
2,0.884906960716747,0.9014167650531287,Random Forest,0.03637194633483887,15
3,0.8740359897172236,0.9132231404958677,K-Nearest Neighbors,0.061903953552246094,15
4,0.8743545611015491,0.9138134592680047,SVM,0.5753841400146484,15
0,0.8842975206611571,0.9008264462809917,Logistic Regression,0.009036540985107422,16
1,0.8846153846153846,0.9008264462809917,Decision Tree,0.002624034881591797,16
2,0.884906960716747,0.9014167650531287,Random Forest,0.03838086128234863,16
3,0.8740359897172236,0.9132231404958677,K-Nearest Neighbors,0.0668649673461914,16
4,0.8743545611015491,0.9138134592680047,SVM,0.5781431198120117,16
0,0.9271089271089271,0.9474616292798111,Logistic Regression,0.011079788208007812,17
1,0.9296235679214402,0.9492325855962219,Decision Tree,0.002650022506713867,17
2,0.9296235679214402,0.9492325855962219,Random Forest,0.037320852279663086,17
3,0.9296235679214402,0.9492325855962219,K-Nearest Neighbors,0.06678199768066406,17
4,0.9278688524590163,0.948051948051948,SVM,0.4239237308502197,17
0,0.9271089271089271,0.9474616292798111,Logistic Regression,0.01014399528503418,18
1,0.9296235679214402,0.9492325855962219,Decision Tree,0.00279998779296875,18
2,0.9296235679214402,0.9492325855962219,Random Forest,0.03832197189331055,18
3,0.9296235679214402,0.9492325855962219,K-Nearest Neighbors,0.06932878494262695,18
4,0.9278688524590163,0.948051948051948,SVM,0.4248359203338623,18
0,0.9278688524590163,0.948051948051948,Logistic Regression,0.011684179306030273,19
1,0.9296235679214402,0.9492325855962219,Decision Tree,0.0027930736541748047,19
2,0.9296235679214402,0.9492325855962219,Random Forest,0.037819862365722656,19
3,0.9296235679214402,0.9492325855962219,K-Nearest Neighbors,0.07182788848876953,19
4,0.9296235679214402,0.9492325855962219,SVM,0.4115629196166992,19
0,0.9278688524590163,0.948051948051948,Logistic Regression,0.011558771133422852,20
1,0.9096045197740114,0.9244391971664699,Decision Tree,0.0028028488159179688,20
2,0.9096045197740114,0.9244391971664699,Random Forest,0.037893056869506836,20
3,0.9296235679214402,0.9492325855962219,K-Nearest Neighbors,0.07377910614013672,20
4,0.9296235679214402,0.9492325855962219,SVM,0.44802379608154297,20
0,0.91005291005291,0.9297520661157025,Logistic Regression,0.012878894805908203,21
1,0.9096045197740114,0.9244391971664699,Decision Tree,0.002847909927368164,21
2,0.9096045197740114,0.9244391971664699,Random Forest,0.0381472110748291,21
3,0.9296235679214402,0.9492325855962219,K-Nearest Neighbors,0.07698369026184082,21
4,0.9296235679214402,0.9492325855962219,SVM,0.5024261474609375,21
0,0.9907407407407408,0.9929161747343566,Logistic Regression,0.011909961700439453,22
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.003010988235473633,22
2,0.9922958397534669,0.9940968122786304,Random Forest,0.04335975646972656,22
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.08316302299499512,22
4,0.9922958397534669,0.9940968122786304,SVM,0.22934389114379883,22
0,0.9907407407407408,0.9929161747343566,Logistic Regression,0.01215362548828125,23
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.0031566619873046875,23
2,0.9922958397534669,0.9940968122786304,Random Forest,0.04077792167663574,23
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.08480381965637207,23
4,0.9922958397534669,0.9940968122786304,SVM,0.30411291122436523,23
0,0.9907407407407408,0.9929161747343566,Logistic Regression,0.012461662292480469,24
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.0032279491424560547,24
2,0.9922958397534669,0.9940968122786304,Random Forest,0.04280972480773926,24
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.09815287590026855,24
4,0.9922958397534669,0.9940968122786304,SVM,0.24413108825683594,24
0,0.9922958397534669,0.9940968122786304,Logistic Regression,0.012207746505737305,25
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.00399470329284668,25
2,0.9922958397534669,0.9940968122786304,Random Forest,0.04767417907714844,25
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.08743596076965332,25
4,0.9922958397534669,0.9940968122786304,SVM,0.2393348217010498,25
0,0.9922958397534669,0.9940968122786304,Logistic Regression,0.012934207916259766,26
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.003326892852783203,26
2,0.9922958397534669,0.9940968122786304,Random Forest,0.04280900955200195,26
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.09630012512207031,26
4,0.9922958397534669,0.9940968122786304,SVM,0.23000311851501465,26
0,0.9922958397534669,0.9940968122786304,Logistic Regression,0.013541936874389648,27
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.003991127014160156,27
2,0.9922958397534669,0.9940968122786304,Random Forest,0.04693794250488281,27
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.09577584266662598,27
4,0.9922958397534669,0.9940968122786304,SVM,0.2666471004486084,27
0,0.9922958397534669,0.9940968122786304,Logistic Regression,0.017892837524414062,28
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.0047380924224853516,28
2,0.9922958397534669,0.9940968122786304,Random Forest,0.06263589859008789,28
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.0995798110961914,28
4,0.9922958397534669,0.9940968122786304,SVM,0.28813982009887695,28
0,0.9922958397534669,0.9940968122786304,Logistic Regression,0.013023138046264648,29
1,0.9922958397534669,0.9940968122786304,Decision Tree,0.003438711166381836,29
2,0.9922958397534669,0.9940968122786304,Random Forest,0.040361642837524414,29
3,0.9922958397534669,0.9940968122786304,K-Nearest Neighbors,0.10336184501647949,29
4,0.9922958397534669,0.9940968122786304,SVM,0.2592790126800537,29
0,1.0,1.0,Logistic Regression,0.012801170349121094,30
1,1.0,1.0,Decision Tree,0.0035071372985839844,30
2,1.0,1.0,Random Forest,0.04148721694946289,30
3,1.0,1.0,K-Nearest Neighbors,0.10038113594055176,30
4,1.0,1.0,SVM,0.28269004821777344,30
0,1.0,1.0,Logistic Regression,0.013345956802368164,31
1,1.0,1.0,Decision Tree,0.003634929656982422,31
2,1.0,1.0,Random Forest,0.04246115684509277,31
3,1.0,1.0,K-Nearest Neighbors,0.10823369026184082,31
4,1.0,1.0,SVM,0.2793407440185547,31
0,1.0,1.0,Logistic Regression,0.013559103012084961,32
1,1.0,1.0,Decision Tree,0.0038290023803710938,32
2,1.0,1.0,Random Forest,0.042037010192871094,32
3,1.0,1.0,K-Nearest Neighbors,0.11092805862426758,32
4,1.0,1.0,SVM,0.3872818946838379,32
0,1.0,1.0,Logistic Regression,0.018049955368041992,33
1,1.0,1.0,Decision Tree,0.0044858455657958984,33
2,1.0,1.0,Random Forest,0.07587695121765137,33
3,1.0,1.0,K-Nearest Neighbors,0.1362757682800293,33
4,1.0,1.0,SVM,0.3589446544647217,33
0,1.0,1.0,Logistic Regression,0.018343687057495117,34
1,1.0,1.0,Decision Tree,0.004342079162597656,34
2,1.0,1.0,Random Forest,0.04836082458496094,34
3,1.0,1.0,K-Nearest Neighbors,0.11196684837341309,34
4,1.0,1.0,SVM,0.5049681663513184,34
0,1.0,1.0,Logistic Regression,0.014325141906738281,35
1,1.0,1.0,Decision Tree,0.006805896759033203,35
2,1.0,1.0,Random Forest,0.07232880592346191,35
3,1.0,1.0,K-Nearest Neighbors,0.14678525924682617,35
4,1.0,1.0,SVM,0.34332823753356934,35
0,1.0,1.0,Logistic Regression,0.012417078018188477,36
1,1.0,1.0,Decision Tree,0.004552125930786133,36
2,1.0,1.0,Random Forest,0.04788517951965332,36
3,1.0,1.0,K-Nearest Neighbors,0.11459994316101074,36
4,1.0,1.0,SVM,0.3320133686065674,36
0,1.0,1.0,Logistic Regression,0.01375722885131836,37
1,1.0,1.0,Decision Tree,0.00413203239440918,37
2,1.0,1.0,Random Forest,0.05401110649108887,37
3,1.0,1.0,K-Nearest Neighbors,0.1215360164642334,37
4,1.0,1.0,SVM,0.30965209007263184,37
0,1.0,1.0,Logistic Regression,0.018111705780029297,38
1,1.0,1.0,Decision Tree,0.00658869743347168,38
2,1.0,1.0,Random Forest,0.05738711357116699,38
3,1.0,1.0,K-Nearest Neighbors,0.1409308910369873,38
4,1.0,1.0,SVM,0.4176352024078369,38
0,1.0,1.0,Logistic Regression,0.014301776885986328,39
1,1.0,1.0,Decision Tree,0.0043201446533203125,39
2,1.0,1.0,Random Forest,0.04438900947570801,39
3,1.0,1.0,K-Nearest Neighbors,0.1238088607788086,39
4,1.0,1.0,SVM,0.3316197395324707,39
0,1.0,1.0,Logistic Regression,0.014048099517822266,40
1,1.0,1.0,Decision Tree,0.004331111907958984,40
2,1.0,1.0,Random Forest,0.05163216590881348,40
3,1.0,1.0,K-Nearest Neighbors,0.1289219856262207,40
4,1.0,1.0,SVM,0.40551233291625977,40
0,1.0,1.0,Logistic Regression,0.023432016372680664,41
1,1.0,1.0,Decision Tree,0.011346101760864258,41
2,1.0,1.0,Random Forest,0.13548707962036133,41
3,1.0,1.0,K-Nearest Neighbors,0.2672867774963379,41
4,1.0,1.0,SVM,0.37318992614746094,41
0,1.0,1.0,Logistic Regression,0.018796682357788086,42
1,1.0,1.0,Decision Tree,0.004981040954589844,42
2,1.0,1.0,Random Forest,0.04999089241027832,42
3,1.0,1.0,K-Nearest Neighbors,0.17918872833251953,42
4,1.0,1.0,SVM,0.7134902477264404,42
0,1.0,1.0,Logistic Regression,0.024514436721801758,43
