,F1 score,accuracy score,model,time,features
2,0.9811320754716981,0.9819524200164069,Random Forest,0.05688619613647461,13
3,0.9811320754716981,0.9819524200164069,K-Nearest Neighbors,0.10565304756164551,13
4,0.9811320754716981,0.9819524200164069,SVM,0.4060170650482178,13
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.014338016510009766,14
1,0.9815687955422203,0.9823625922887613,Decision Tree,0.003568887710571289,14
2,0.9815687955422203,0.9823625922887613,Random Forest,0.04944610595703125,14
3,0.9815687955422203,0.9823625922887613,K-Nearest Neighbors,0.10282516479492188,14
4,0.9789428448646326,0.9799015586546349,SVM,0.40157604217529297,14
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.014937877655029297,15
1,0.9815687955422203,0.9823625922887613,Decision Tree,0.0034639835357666016,15
2,0.9815687955422203,0.9823625922887613,Random Forest,0.04970288276672363,15
3,0.9815687955422203,0.9823625922887613,K-Nearest Neighbors,0.1090841293334961,15
4,0.9789428448646326,0.9799015586546349,SVM,0.4210529327392578,15
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.017975330352783203,16
1,0.9815687955422203,0.9823625922887613,Decision Tree,0.003857851028442383,16
2,0.9815687955422203,0.9823625922887613,Random Forest,0.05756092071533203,16
3,0.9815687955422203,0.9823625922887613,K-Nearest Neighbors,0.12076926231384277,16
4,0.9789428448646326,0.9799015586546349,SVM,0.6293051242828369,16
0,0.9772629772629773,0.9782608695652174,Logistic Regression,0.015839815139770508,17
1,0.9927505330490405,0.9930270713699754,Decision Tree,0.0037729740142822266,17
2,0.9927505330490405,0.9930270713699754,Random Forest,0.05175900459289551,17
3,0.9927505330490405,0.9930270713699754,K-Nearest Neighbors,0.11811399459838867,17
4,0.9842753931151721,0.9848236259228876,SVM,0.4515349864959717,17
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.01441502571105957,18
1,0.9957228400342172,0.9958982772764561,Decision Tree,0.003899812698364258,18
2,0.9957228400342172,0.9958982772764561,Random Forest,0.050369977951049805,18
3,0.9957228400342172,0.9958982772764561,K-Nearest Neighbors,0.1217489242553711,18
4,0.9872122762148339,0.9876948318293683,SVM,0.4813668727874756,18
0,0.9787602947550932,0.9799015586546349,Logistic Regression,0.016277790069580078,19
1,1.0,1.0,Decision Tree,0.004030942916870117,19
2,1.0,1.0,Random Forest,0.050118207931518555,19
3,1.0,1.0,K-Nearest Neighbors,0.1249849796295166,19
4,0.9974160206718347,0.9975389663658737,SVM,0.3807830810546875,19
0,0.9787602947550932,0.9799015586546349,Logistic Regression,0.016309022903442383,20
1,1.0,1.0,Decision Tree,0.00397181510925293,20
2,1.0,1.0,Random Forest,0.050559043884277344,20
3,1.0,1.0,K-Nearest Neighbors,0.12673187255859375,20
4,0.9978476108480413,0.9979491386382281,SVM,0.35742902755737305,20
0,0.9787602947550932,0.9799015586546349,Logistic Regression,0.016386747360229492,21
1,1.0,1.0,Decision Tree,0.004141092300415039,21
2,1.0,1.0,Random Forest,0.051084041595458984,21
3,1.0,1.0,K-Nearest Neighbors,0.13469910621643066,21
4,0.9974160206718347,0.9975389663658737,SVM,0.38192200660705566,21
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.01709151268005371,22
1,1.0,1.0,Decision Tree,0.004195213317871094,22
2,1.0,1.0,Random Forest,0.051158905029296875,22
3,1.0,1.0,K-Nearest Neighbors,0.14124703407287598,22
4,0.9974160206718347,0.9975389663658737,SVM,0.43418216705322266,22
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.017545700073242188,23
1,1.0,1.0,Decision Tree,0.004251718521118164,23
2,1.0,1.0,Random Forest,0.05275583267211914,23
3,1.0,1.0,K-Nearest Neighbors,0.1420426368713379,23
4,0.9974160206718347,0.9975389663658737,SVM,0.47293901443481445,23
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.01773977279663086,24
1,1.0,1.0,Decision Tree,0.004339933395385742,24
2,1.0,1.0,Random Forest,0.05164599418640137,24
3,1.0,1.0,K-Nearest Neighbors,0.14307713508605957,24
4,0.9974160206718347,0.9975389663658737,SVM,0.46548914909362793,24
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.016995906829833984,25
1,1.0,1.0,Decision Tree,0.00449371337890625,25
2,1.0,1.0,Random Forest,0.05555105209350586,25
3,1.0,1.0,K-Nearest Neighbors,0.14778399467468262,25
4,0.9974160206718347,0.9975389663658737,SVM,0.48782801628112793,25
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.0172727108001709,26
1,1.0,1.0,Decision Tree,0.004719257354736328,26
2,1.0,1.0,Random Forest,0.0552830696105957,26
3,1.0,1.0,K-Nearest Neighbors,0.15290284156799316,26
4,0.9974160206718347,0.9975389663658737,SVM,0.551257848739624,26
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.017721891403198242,27
1,1.0,1.0,Decision Tree,0.00498199462890625,27
2,1.0,1.0,Random Forest,0.06513476371765137,27
3,1.0,1.0,K-Nearest Neighbors,0.17008018493652344,27
4,0.9974160206718347,0.9975389663658737,SVM,0.5678129196166992,27
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.018585920333862305,28
1,1.0,1.0,Decision Tree,0.005051136016845703,28
2,1.0,1.0,Random Forest,0.06512594223022461,28
3,1.0,1.0,K-Nearest Neighbors,0.15989899635314941,28
4,0.9974160206718347,0.9975389663658737,SVM,0.5946528911590576,28
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.021347999572753906,29
1,1.0,1.0,Decision Tree,0.006048679351806641,29
2,1.0,1.0,Random Forest,0.07484221458435059,29
3,1.0,1.0,K-Nearest Neighbors,0.16620802879333496,29
4,0.9974160206718347,0.9975389663658737,SVM,0.603985071182251,29
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.018588781356811523,30
1,1.0,1.0,Decision Tree,0.004716157913208008,30
2,1.0,1.0,Random Forest,0.05455374717712402,30
3,1.0,1.0,K-Nearest Neighbors,0.1695549488067627,30
4,0.9978476108480413,0.9979491386382281,SVM,0.5978243350982666,30
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.018329381942749023,31
1,1.0,1.0,Decision Tree,0.004912853240966797,31
2,1.0,1.0,Random Forest,0.0541989803314209,31
3,1.0,1.0,K-Nearest Neighbors,0.17699980735778809,31
4,0.9978476108480413,0.9979491386382281,SVM,0.6616268157958984,31
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.019472122192382812,32
1,1.0,1.0,Decision Tree,0.0050008296966552734,32
2,1.0,1.0,Random Forest,0.05513882637023926,32
3,1.0,1.0,K-Nearest Neighbors,0.179396390914917,32
4,0.9978476108480413,0.9979491386382281,SVM,0.6860511302947998,32
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.019261837005615234,33
1,1.0,1.0,Decision Tree,0.005070924758911133,33
